47.0678809;15.4441462;toys;Spielzeugwelt Rieger Puchebner;Mo-Fr 09:00-18:00  Sa 09:00-17:00;www.rieger-puchebner.at
47.0713485;15.4375042;clothes;H&M;Mo-Fr 09:00-19:00  Sa 09:00-18:00;http://www.hm.com/at
47.0712324;15.4335519;hearing_aids;Neuroth Graz, Haus des Hörens;;http://www.neuroth.at/
47.0662509;15.4467809;bakery;Martin Auer;Mo- Fr 06:30-18:30 Sa 6:30-17:00 Su,Ph 07:00-12:00;
47.0474734;15.4085470;motorcycle;Motorrad Klug;Mo-Fr 08:00-18:00  Sa 08:00-12:00;http://klug.at
47.0341599;15.4155475;sports;SportsDirect.com;;
47.0714089;15.4383223;jewelry;Weikhard;Mo-Fr 09:00-18:00  Sa 09:30-17:00  Jun-Aug: Sa 09:30-13:00;http://weikhard.at/kontakt/
47.0689653;15.4414074;clothes;Benetton;;
47.0695295;15.4385279;clothes;Brühl & Söhne;Mo-Fr 9:30-18:30  Sa 9:30-18:00;http://www.bruehl.at
47.0685513;15.4413440;clothes;H&M;Mo -Fr 09:00-19:00  Sa 09:00-18:00;http://www.hm.com/at/
47.0681361;15.4415202;clothes;Zara;Mo-Fr 09:30-19:00  Sa 09:30-17:00;http://www.zara.com/at/
47.0676909;15.4435014;hats gloves;Handschuhe Zur Oper;Mo-Fr 09:00-12:30, 13:30-18:00  Sa 09:00-12:00;
47.0725282;15.4521363;bakery;Martin Auer;Mo-Fr 06:30-18:30  Sa 07:00-12:30  Su 07:00-11:00;http://www.martinauer.at
47.0736687;15.4541384;clothes;Carla;;
47.0752824;15.4598732;copyshop;print & copy;Mo-Fr 08:00-18:00;
47.0686350;15.4475615;bakery;Martin Auer;Mo- Fr 06:30-18:30 Sa 6:30-17:00 Su,Ph 07:00-12:00;
47.0698316;15.4360678;alteration;Schneiderei Neutor;;
47.0632193;15.4436304;kiosk;Ortweinstand;;
47.0671215;15.4425772;confectionery;Nowi;Mo-Fr 06:00-18:00  Sa 08:00-13:00;
